SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.82	NNNNNNNN	AAAAAAAA	E3	G10	1	82-G10-14823893	ML2-3	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.060784314	0.058823529	0.224509804	0.109803922	0.453921569	0.491803279	0.786941581	0.643678161	29.13343	-90.145595	30	Soil
S2.83	NNNNNNNN	AAAAAAAA	F3	G11	1	83-G11-14823894	BJ 3A	1/19/2013	BJ	SALT	O	January	WINTER	3	A	0.054054054	0.17027027	0.712162162	0.116216216	1.052702703	0.759036145	0.929453263	0.682539683	29.44453	-89.88934	86	Soil
S2.85	NNNNNNNN	AAAAAAAA	H3	H1	1	85-H1-14821861	ML2-2	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.027985075	0.057835821	0.059701493	0.059701493	0.205223881	0.673913043	0.680851064	0.680851064	29.13343	-90.145595	40	Soil
S2.98	NNNNNNNN	AAAAAAAA	V3	A2	2	98-Final Library-674493-12883877	ML2-7	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.023148148	0.038580247	0.032407407	0.023148148	0.117283951	0.625	0.583333333	0.5	29.133371	-90.145493	10	Soil
S2.99	NNNNNNNN	AAAAAAAA	X3	A3	2	99-A3-14798839	BJ 5B	1/19/2013	BJ	SALT	O	January	WINTER	5	B	0.022189349	0.109467456	0.099112426	0.022189349	0.25295858	0.831460674	0.817073171	0.5	29.4444	-89.88888	125	Soil
S2.142	NNNNNNNN	AAAAAAAA	Q6	D10	2	142-D10-14823864	BJ 6E	11/15/2013	BJ	SALT	O	November	FALL	6	E	0.036764706	0.056372549	0.355392157	0.058823529	0.507352941	0.605263158	0.90625	0.615384615	29.4435	-89.88689	340	Soil
S2.33	NNNNNNNN	AAAAAAAA	G1	C9	1	33-C9-14798824	BJ 3B	6/26/2013	BJ	SALT	O	June	SUMMER	3	B	2.17	0.12	15.64	3.1	21.03	0.052401747	0.878158338	0.588235294	29.44438	-89.88868	157	Soil
S2.36	NNNNNNNN	AAAAAAAA	J1	C12	1	36-C12-14828854	BJ 4B	6/26/2013	BJ	SALT	O	June	SUMMER	4	B	47.83	21.84	509.76	95.67	675.1	0.313477824	0.914220126	0.666689895	29.44449	-89.88913	112	Soil
S2.49	NNNNNNNN	AAAAAAAA	W1	E1	1	49-E1-14798825	BJ 6B	6/26/2013	BJ	SALT	O	June	SUMMER	6	B	0.115	0.085	0.585	0.095	0.88	0.425	0.835714286	0.452380952	29.4442	-89.8883	194	Soil
S2.65	NNNNNNNN	AAAAAAAA	M2	F5	1	65-F5-14798827	BJ 5E	6/26/2013	BJ	SALT	O	June	SUMMER	5	E	4.29	0.26	0.755	0.075	5.38	0.057142857	0.149653122	0.017182131	29.44341	-89.88676	364	Soil
S2.90	NNNNNNNN	AAAAAAAA	M3	H6	1	90-H6-14798832	BJ 7D	6/26/2013	BJ	SALT	O	June	SUMMER	7	D	0.022865854	0.030487805	0.097560976	0.054878049	0.205792683	0.571428571	0.810126582	0.705882353	29.44391	-89.88769	256	Soil
S2.91	NNNNNNNN	AAAAAAAA	N3	H7	1	91-H7-14798833	BJ 3A	6/26/2013	BJ	SALT	O	June	SUMMER	3	A	0.025	0.033333333	0.045	0.025	0.128333333	0.571428571	0.642857143	0.5	29.44453	-89.88934	86	Soil
S2.93	NNNNNNNN	AAAAAAAA	P3	H9	1	93-H9-14798835	BJ 6E	6/26/2013	BJ	SALT	O	June	SUMMER	6	E	0.138297872	0.151595745	0.167553191	0.026595745	0.484042553	0.52293578	0.547826087	0.161290323	29.4435	-89.88689	340	Soil
S2.145	NNNNNNNN	AAAAAAAA	V6	E1	2	145-E1-14798806	BJ 6D	11/15/2013	BJ	SALT	O	November	FALL	6	D	3.368421053	0.289473684	6.561403509	3.201754386	13.42105263	0.079136691	0.660777385	0.487316422	29.4437	-89.88729	297	Soil
S2.7	NNNNNNNN	AAAAAAAA	G	A7	1	7-A7-14823887	MM-2	7/10/2013	F	SALT	O	July	SUMMER	NA	MM	0.075	0.095	0.085	0.07	0.325	0.558823529	0.53125	0.482758621	29.133351	-90.145388	10	Soil
S2.87	NNNNNNNN	AAAAAAAA	J3	H3	1	87-H3-14828865	BJ 7C	6/26/2013	BJ	SALT	O	June	SUMMER	7	C	0.075	0.085	0.1	0.05	0.31	0.53125	0.571428571	0.4	29.44427	-89.88844	185	Soil
S2.12	NNNNNNNN	AAAAAAAA	L	A12	1	12-A12-14823842	ML2-2	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.105	0.1	0.05	0.33	0.583333333	0.571428571	0.4	29.13343	-90.145595	40	Soil
S2.21	NNNNNNNN	AAAAAAAA	U	B9	1	21-B9-14828850	ML2-4	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.095	0.125	0.06	0.355	0.558823529	0.625	0.444444444	29.133382	-90.145518	30	Soil
S2.58	NNNNNNNN	AAAAAAAA	F2	E10	1	58-combined-14798826	ML1-5	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.021306818	0.045454545	0.028409091	0.021306818	0.116477273	0.680851064	0.571428571	0.5	29.133392	-90.145346	20	Soil
S2.64	NNNNNNNN	AAAAAAAA	L2	F4	1	64-F4-14824850	BJ 6C	6/26/2013	BJ	SALT	O	June	SUMMER	6	C	0.075	0.085	0.1	0.05	0.31	0.53125	0.571428571	0.4	29.444	-89.8879	236	Soil
S2.88	NNNNNNNN	AAAAAAAA	K3	H4	1	88-H4-14798831	BJ 3D	6/26/2013	BJ	SALT	O	June	SUMMER	3	D	0.025337838	0.033783784	0.033783784	0.025337838	0.118243243	0.571428571	0.571428571	0.5	29.44383	-89.8875	281	Soil
S2.96	NNNNNNNN	AAAAAAAA	T3	H12	1	96-H12-14798838	ML2-4	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.030737705	0.05942623	0.040983607	0.030737705	0.161885246	0.659090909	0.571428571	0.5	29.133382	-90.145518	30	Soil
S2.101	NNNNNNNN	AAAAAAAA	I4	A5	2	101-A5-14824831	ML1-6	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.028195489	0.069548872	0.071428571	0.041353383	0.210526316	0.711538462	0.716981132	0.594594595	29.133392	-90.145346	20	Soil
